Ring,Species,Colony,geoID,geo_trip,Producer,start_year,end_year,Date_Time,tol_sep,tol_mar,lon,lat
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2003-04-27T06:13:49Z,0.16333000000000003,0.16678,-18.066653636742803,21.4352922519732
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2003-04-27T20:03:34Z,0.16333000000000003,0.16678,-16.66860918481865,23.245158718033498
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2003-04-28T05:58:47Z,0.16333000000000003,0.16678,-15.937269222308544,25.301304921105945
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2003-04-28T20:04:18Z,0.16333000000000003,0.16678,-16.104454471978762,24.943161089439183
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2003-04-29T06:00:02Z,0.16333000000000003,0.16678,-16.0786063399835,24.327353560486102
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2003-04-29T20:02:16Z,0.16333000000000003,0.16678,-15.812253460986229,24.0489044463921
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2003-04-30T05:58:09Z,0.16333000000000003,0.16678,-16.41203414528336,25.75919589211709
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2003-04-30T20:15:36Z,0.16333000000000003,0.16678,-17.40521033131222,28.01372834079768
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-19T15:25:10Z,0.16598000000000002,0.16927000000000003,-85.94510897412994,-71.07756723848067
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-19T20:05:05Z,0.16598000000000002,0.16927000000000003,-71.13611576008637,-57.72680632949365
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-20T08:17:03Z,0.16598000000000002,0.16927000000000003,4.0292926777391,-56.765445182539835
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-20T13:15:02Z,0.16598000000000002,0.16927000000000003,18.899254525857383,-70.57804542262984
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-21T08:15:55Z,0.16598000000000002,0.16927000000000003,50.38885042322763,-73.99011006077303
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-21T08:55:38Z,0.16598000000000002,0.16927000000000003,51.48426567067149,-74.10996453787071
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-22T08:15:01Z,0.16598000000000002,0.16927000000000003,-1.6018086068390789,-46.151644964541816
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-22T19:25:49Z,0.16598000000000002,0.16927000000000003,-17.883986964459687,-11.934471836893607
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-23T05:52:24Z,0.16598000000000002,0.16927000000000003,-13.131382318051577,14.661338256566102
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-23T20:40:53Z,0.16598000000000002,0.16927000000000003,-18.79843960047696,24.52352151380416
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-24T05:54:58Z,0.16598000000000002,0.16927000000000003,-18.96188640878125,24.43293793576673
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-24T20:42:09Z,0.16598000000000002,0.16927000000000003,-18.048783989457267,26.08429136186984
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-25T05:42:23Z,0.16598000000000002,0.16927000000000003,-17.37405123808,26.911324912482815
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-25T20:40:53Z,0.16598000000000002,0.16927000000000003,-18.016663755639303,25.606316364562968
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-26T05:52:23Z,0.16598000000000002,0.16927000000000003,-18.352006527329653,24.707345465658705
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-26T20:38:23Z,0.16598000000000002,0.16927000000000003,-18.37014516123747,24.040567884085295
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-27T05:55:33Z,0.16598000000000002,0.16927000000000003,-18.357401194833812,23.577248901258
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-27T20:35:23Z,0.16598000000000002,0.16927000000000003,-17.301256577991577,24.493333458083924
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-28T05:45:13Z,0.16598000000000002,0.16927000000000003,-16.926963168059547,25.518742519109413
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-28T20:38:22Z,0.16598000000000002,0.16927000000000003,-17.110630043696176,25.92827877302173
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-29T05:45:01Z,0.16598000000000002,0.16927000000000003,-17.55317877545041,26.665453274284335
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-29T20:48:22Z,0.16598000000000002,0.16927000000000003,-58.46084372403365,-13.34569601571284
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-30T18:59:51Z,0.16598000000000002,0.16927000000000003,-105.519150514363,-74.44960384712026
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-06-30T19:10:51Z,0.16598000000000002,0.16927000000000003,-104.2954743019874,-73.92104275097407
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-01T08:12:21Z,0.16598000000000002,0.16927000000000003,-27.73314049605594,-29.276016546973676
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-01T20:00:51Z,0.16598000000000002,0.16927000000000003,-31.292120021355142,-24.445105995474428
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-02T08:22:21Z,0.16598000000000002,0.16927000000000003,-30.980322321577905,-27.5976790766188
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-04T08:19:50Z,0.16598000000000002,0.16927000000000003,-23.69485589918991,-40.928621676520805
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-04T18:52:05Z,0.16598000000000002,0.16927000000000003,-13.695073493439684,-22.15087240641223
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-05T05:49:50Z,0.16598000000000002,0.16927000000000003,-10.55986310203608,11.395353159819267
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-05T20:54:34Z,0.16598000000000002,0.16927000000000003,-37.04438140795563,-8.472410830265979
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-06T10:16:04Z,0.16598000000000002,0.16927000000000003,-48.229412973941386,-47.69062428069902
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-06T19:53:40Z,0.16598000000000002,0.16927000000000003,-42.44972675556123,-48.77359978351906
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-07T09:26:29Z,0.16598000000000002,0.16927000000000003,-0.35188041208951404,-66.5903120419983
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-07T13:18:19Z,0.16598000000000002,0.16927000000000003,15.879381013943386,-71.54610377570945
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-08T05:45:21Z,0.16598000000000002,0.16927000000000003,9.69267111939321,-17.26958554543954
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-08T20:32:48Z,0.16598000000000002,0.16927000000000003,-16.881270705297023,24.22505598276839
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-09T05:56:56Z,0.16598000000000002,0.16927000000000003,-17.697515170988567,23.796063557751346
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-09T20:38:18Z,0.16598000000000002,0.16927000000000003,-18.919305341128943,23.172015748270844
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-10T06:07:48Z,0.16598000000000002,0.16927000000000003,-19.561632028464786,22.530505518539
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-10T20:40:48Z,0.16598000000000002,0.16927000000000003,-19.0226991626375,24.131695103860892
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-11T05:58:32Z,0.16598000000000002,0.16927000000000003,-18.758260433653064,25.276476045335382
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-11T20:44:57Z,0.16598000000000002,0.16927000000000003,-19.15229827210569,25.72946393501697
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-12T05:59:47Z,0.16598000000000002,0.16927000000000003,-18.87742273552012,25.152998812407635
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-12T20:38:17Z,0.16598000000000002,0.16927000000000003,-18.77419531287259,23.662560426084383
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-13T06:05:24Z,0.16598000000000002,0.16927000000000003,-19.036838183618087,23.247072819205947
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-13T20:38:16Z,0.16598000000000002,0.16927000000000003,-19.25339899829045,22.920936964840735
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-14T06:08:31Z,0.16598000000000002,0.16927000000000003,-19.243147013289352,22.436056980129177
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-14T20:35:11Z,0.16598000000000002,0.16927000000000003,-19.275599374398844,21.59683162344022
6134563,CALBOR,Veneguera,12001,12001001,Biotrack,2002,2003,2002-07-15T06:12:16Z,0.16598000000000002,0.16927000000000003,-24.272912389007185,14.152423112373686
