"Simulation number","Main_seg_D","Category","Main_seg_ang","d_BA","d_WA","tau.z","tau.v","mean_A","min_speed","max_speed","BA_dep","WA_arr","WA_dep","BA_arr"
"738","123","long","1.8","41","61.5","5","0.06","128","2.03","2.16","157","232","344","414"
"739","131","long","4.35","65.5","65.5","6","0.05","118.5","2.18","2.34","128","200","334","407"
"740","119","long","5.78","29.75","39.67","7","0.05","104","2.1","2.33","177","241","371","428"
"741","121","long","4.38","30.25","30.25","6","0.04","121.5","2.02","2.38","135","190","326","394"
"742","138","long","0.49","34.5","46","7","0.06","117.5","2.03","2.21","151","222","301","374"
"743","119","long","1.36","29.75","29.75","5","0.05","125","2.08","2.48","133","194","311","374"
"744","115","long","4.12","38.33","57.5","6","0.05","118.5","2.12","2.42","155","218","365","421"
"745","117","long","1.79","29.25","29.25","7","0.06","140","2.09","2.45","121","175","251","312"
"746","116","long","5.73","29","29","7","0.06","134.5","2.23","2.45","132","189","320","373"
"747","132","long","5.61","44","33","7","0.06","122","2","2.14","145","215","340","416"
"748","115","long","5.45","57.5","38.33","5","0.04","118","2.08","2.4","142","203","374","439"
"749","138","long","2.01","46","34.5","6","0.06","120.5","2.19","2.41","136","202","269","338"
"750","119","long","1.21","59.5","59.5","7","0.06","135.5","2.03","2.38","139","209","328","395"
"751","123","long","1.65","41","30.75","7","0.04","109.5","2","2.41","140","203","325","393"
"752","117","long","5.13","39","29.25","6","0.04","119","2.25","2.43","135","190","293","351"
"753","136","long","5.39","68","34","5","0.06","115.5","2.03","2.28","176","260","413","479"
"754","132","long","4.12","44","33","7","0.05","120.5","2.02","2.44","173","248","337","405"
"755","137","long","6.26","68.5","45.67","5","0.05","136","2.07","2.45","120","201","360","431"
"756","124","long","5.93","62","31","5","0.05","123.5","2.04","2.38","171","241","376","441"
"757","137","long","5.86","45.67","68.5","7","0.06","139.5","2.08","2.32","152","222","349","425"
"758","128","long","5.63","42.67","42.67","7","0.04","125","2.21","2.51","146","207","350","418"
"759","137","long","1.94","34.25","34.25","6","0.06","112.5","2.01","2.21","164","237","318","386"
"760","121","long","3.63","30.25","60.5","6","0.05","119","2.03","2.42","149","208","309","381"
"761","120","long","1.31","40","30","7","0.06","130","2","2.3","176","239","418","480"
"762","136","long","0.45","34","34","7","0.05","133","2.11","2.43","176","245","411","478"
"763","135","long","1.34","67.5","33.75","7","0.04","116","2.17","2.41","130","208","336","404"
"764","125","long","1.23","41.67","31.25","6","0.05","128","2.08","2.45","135","194","360","424"
"765","128","long","4.8","64","32","6","0.06","113","2","2.21","157","231","399","465"
"766","139","long","1.2","34.75","69.5","5","0.06","127","2.24","2.48","140","206","327","400"
"767","121","long","3.2","30.25","40.33","7","0.04","144.5","2.28","2.37","172","230","365","424"
"768","126","long","5.09","31.5","42","6","0.04","124","2.33","2.42","137","196","312","371"
"769","121","long","3.69","60.5","40.33","6","0.04","108.5","2.02","2.28","150","223","309","375"
"770","120","long","3.21","60","40","5","0.05","116","2.22","2.5","130","191","277","336"
"771","134","long","3.83","67","33.5","7","0.06","124","2.16","2.32","147","217","369","436"
"772","126","long","2.42","31.5","63","5","0.04","126.5","1.97","2.33","130","191","358","429"
"773","121","long","5.92","40.33","30.25","6","0.04","138.5","2.1","2.24","160","225","309","374"
"774","132","long","5.44","66","33","7","0.06","124.5","2.2","2.31","147","221","329","394"
"775","138","long","2.17","69","46","5","0.05","136.5","2.03","2.42","162","248","337","410"
"776","118","long","1.4","59","59","6","0.04","124","2.11","2.4","127","191","294","364"
"777","138","long","3.09","34.5","46","5","0.04","110.5","2.04","2.42","142","211","334","410"
"778","127","long","0.92","31.75","63.5","6","0.04","124","2.22","2.44","154","217","386","449"
"779","138","long","3.84","34.5","34.5","6","0.04","122","2.11","2.3","179","251","391","461"
"780","129","long","1.16","32.25","32.25","7","0.05","138.5","2.04","2.48","122","190","318","383"
"781","121","long","2.22","60.5","30.25","6","0.05","108.5","2.16","2.33","170","235","366","425"
"782","123","long","1.27","41","41","5","0.05","117","2","2.33","167","239","388","449"
"783","136","long","0.79","68","68","6","0.05","126","2.09","2.37","129","201","288","366"
"784","124","long","3.35","62","31","6","0.05","141.5","2.04","2.38","152","218","298","361"
"785","125","long","0.31","41.67","41.67","6","0.04","117.5","2.07","2.31","180","252","377","437"
"786","134","long","2.72","44.67","67","7","0.05","121","2.03","2.35","163","231","370","456"
"787","130","long","2.84","65","65","6","0.04","123","2.08","2.49","158","220","372","445"
"788","130","long","3.19","65","43.33","5","0.04","129","2.08","2.5","178","256","332","400"
"789","127","long","0.59","31.75","42.33","7","0.06","114.5","2","2.33","167","236","387","452"
"790","136","long","0.81","34","68","6","0.06","107.5","2.11","2.43","123","190","334","408"
"791","124","long","2.72","31","31","5","0.05","143","2.06","2.25","177","242","382","443"
"792","139","long","0.05","46.33","46.33","6","0.04","120","2.27","2.44","134","204","317","385"
"793","124","long","1.32","62","31","6","0.05","128.5","2.03","2.38","141","220","397","455"
"794","138","long","0.76","46","34.5","7","0.04","138","2.09","2.36","162","240","363","426"
"795","122","long","3.29","30.5","40.67","5","0.06","130","2.18","2.5","133","187","314","378"
"796","125","long","0.32","41.67","31.25","5","0.06","115","2.08","2.4","165","226","362","422"
"797","119","long","0.77","39.67","29.75","7","0.06","113.5","2.2","2.48","143","204","324","380"
"798","139","long","5.22","34.75","34.75","6","0.06","132","2.19","2.48","150","219","356","419"
"799","122","long","4.49","61","40.67","7","0.05","125.5","2.26","2.44","152","214","298","358"
"800","133","long","0.83","33.25","44.33","6","0.05","132.5","2.08","2.41","151","221","371","434"
"801","128","long","5.65","64","64","6","0.04","120.5","2.06","2.47","121","184","305","373"
"802","132","long","1.57","44","66","6","0.04","124.5","2.17","2.44","158","225","350","424"
"803","140","long","1.35","70","46.67","6","0.04","125.5","2.06","2.48","164","252","382","447"
"804","128","long","1.34","32","42.67","7","0.04","118.5","2","2.25","139","203","369","433"
"805","126","long","0.81","42","31.5","6","0.06","114","2.17","2.47","147","206","341","404"
"806","128","long","4.63","64","32","6","0.06","119.5","2.13","2.44","173","245","343","409"
"807","121","long","3.61","60.5","40.33","7","0.04","102.5","2.02","2.47","158","233","337","395"
"808","126","long","1.22","42","63","6","0.04","120.5","2.1","2.42","148","208","368","446"
"809","133","long","0.75","66.5","33.25","6","0.05","120.5","2.19","2.56","149","229","316","382"
"810","135","long","2.85","67.5","67.5","6","0.05","134.5","2.05","2.45","153","223","365","448"
"811","120","long","1.74","40","30","5","0.06","125","2","2.37","163","222","310","370"
"812","119","long","4.46","59.5","39.67","5","0.06","112","2.05","2.48","173","248","355","410"
"813","136","long","1.32","34","68","6","0.06","116.5","2.1","2.34","132","206","339","413"
"814","125","long","6.02","31.25","62.5","6","0.04","113.5","2.23","2.45","154","212","329","397"
"815","140","long","1.47","46.67","46.67","6","0.06","128","2.03","2.45","146","218","345","412"
"816","119","long","3.3","59.5","59.5","6","0.04","130","2.05","2.22","139","203","307","375"
"817","120","long","0.08","30","30","5","0.05","146.5","2.2","2.5","152","207","281","340"
"818","128","long","3.32","42.67","42.67","7","0.04","118.5","2.03","2.26","134","199","319","387"
"819","117","long","1.09","58.5","29.25","6","0.04","138.5","2.07","2.25","136","209","350","410"
"820","129","long","3.8","64.5","32.25","7","0.06","112.5","2.02","2.43","157","229","370","429"
"821","131","long","4.48","43.67","43.67","6","0.05","116","2.12","2.43","121","193","301","362"
"822","116","long","6.25","29","58","5","0.04","149.5","2.01","2.42","157","218","312","378"
"823","129","long","1.72","64.5","64.5","5","0.06","116.5","2.13","2.47","176","242","362","443"
"824","125","long","4.9","62.5","41.67","6","0.05","128.5","2.26","2.41","175","241","373","435"
"825","136","long","5.1","45.33","45.33","6","0.05","138.5","2.07","2.44","131","205","378","441"
"826","126","long","5.83","63","42","5","0.05","138.5","2.1","2.34","161","229","358","426"
"827","116","long","2.37","58","58","7","0.06","141.5","2.07","2.52","140","206","276","343"
"828","126","long","1.2","42","63","6","0.06","127","2","2.27","137","201","310","389"
"829","127","long","3.62","63.5","42.33","5","0.06","143","2.05","2.49","164","231","340","406"
"830","117","long","5.97","39","39","5","0.06","146.5","2.05","2.33","151","213","293","354"
"831","134","long","5.3","33.5","67","6","0.06","121.5","2.03","2.31","164","235","331","416"
"832","115","long","1.41","38.33","57.5","6","0.04","116","2.28","2.45","139","199","279","343"
"833","137","long","5.58","45.67","68.5","6","0.04","119.5","2.36","2.54","164","227","357","426"
"834","124","long","4.55","31","31","7","0.05","130","2.06","2.38","151","216","374","438"
"835","133","long","4.77","66.5","44.33","5","0.04","121.5","2.02","2.46","125","201","328","398"
"836","118","long","3.68","59","39.33","7","0.04","122","2","2.36","138","210","337","402"
"837","121","long","6.2","60.5","40.33","5","0.05","123","2.06","2.24","167","244","355","414"
"838","123","long","0.89","30.75","30.75","7","0.05","114.5","2.05","2.24","130","191","298","364"
"839","131","long","2.47","43.67","32.75","7","0.04","121.5","2.27","2.38","170","233","331","396"
"840","128","long","2.99","64","32","6","0.06","108.5","2.26","2.46","167","242","339","402"
"841","138","long","0.49","34.5","69","6","0.05","141.5","2.09","2.46","128","196","305","377"
"842","135","long","1.5","67.5","67.5","5","0.06","138.5","2.31","2.5","153","224","304","370"
"843","128","long","4.64","42.67","42.67","5","0.05","126.5","2.03","2.26","162","226","342","417"
"844","120","long","1.8","30","60","5","0.04","106.5","2.14","2.31","155","212","375","440"
"845","118","long","3.92","39.33","59","6","0.04","134.5","1.98","2.46","167","229","355","423"
"846","126","long","6.2","42","42","5","0.04","119","2","2.42","178","248","369","432"
"847","116","long","5.26","38.67","38.67","5","0.05","126.5","2.11","2.42","157","216","348","405"
"848","140","long","1.92","46.67","70","5","0.05","110.5","2.03","2.31","152","235","356","441"
"849","127","long","1.81","42.33","63.5","5","0.05","118","2.34","2.41","121","184","283","349"
"850","121","long","5.76","40.33","30.25","7","0.04","127.5","2","2.33","157","227","357","418"
"851","116","long","0.71","38.67","38.67","5","0.06","123.5","2.06","2.42","135","193","320","379"
"852","116","long","2.69","29","29","7","0.04","126","2.07","2.46","138","198","334","386"
"853","123","long","0.75","30.75","41","7","0.06","131.5","2.02","2.16","142","206","320","390"
